2024-08-29 23:31:42,947 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,947 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,948 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,948 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,948 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,950 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,951 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,952 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,953 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,954 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,956 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,958 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,959 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,960 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,963 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,964 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,966 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,967 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,968 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,969 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,970 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,971 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,972 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,973 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,974 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,974 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,974 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,978 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,979 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,979 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,980 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,981 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,981 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,982 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,983 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,985 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,987 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,989 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,989 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,990 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,991 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,992 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,992 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,993 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,994 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,995 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,996 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,996 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,997 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,997 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,998 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:42,999 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
2024-08-29 23:31:43,000 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/zerg/Exhibition-Scorekeeper/logs/game.log', wd=5, mask=IN_MODIFY, cookie=0, name='game.log'>
